variable,month,mean_bias_hist_vs_obs,mean_correction_applied
tmax_c,1,-0.4480050258064523,0.7162831143375646
tmax_c,2,-1.1712105869553486,1.458611518386695
tmax_c,3,-2.755402544086019,3.573805899933422
tmax_c,4,-2.5817217600000006,2.7179927971078093
tmax_c,5,-2.7045451483871012,2.8208981984217165
tmax_c,6,-1.891041191111114,2.094008400599423
tmax_c,7,0.551321250537633,-0.1949123324743295
tmax_c,8,0.9686474924731172,-0.8475146678915799
tmax_c,9,-0.44475629000000083,0.4285305324605482
tmax_c,10,-2.1691837107526872,2.78908669254239
tmax_c,11,-1.0401417588888933,1.435526132801142
tmax_c,12,-0.16535830645161376,0.4839519156086038
tmin_c,1,2.4366004655913995,-2.0696965948569925
tmin_c,2,1.945488748037231,-1.9199461768581745
tmin_c,3,0.697306608602152,-0.30917579104965726
tmin_c,4,0.371401323333334,-0.22735546431162598
tmin_c,5,0.3396300838709685,-0.4521976637019159
tmin_c,6,1.3150332733333308,-1.2334063927087855
tmin_c,7,2.975172441935481,-2.877693728500103
tmin_c,8,3.3861937698924756,-3.424747459009098
tmin_c,9,2.560894206666667,-2.646436000629162
tmin_c,10,0.9112873204301053,-0.665047202605342
tmin_c,11,1.963078971111111,-1.7886098489606008
tmin_c,12,2.345959433333334,-2.056072970733476
tmean_c,1,1.7270355000000013,-1.3752157222477
tmean_c,2,1.096685498222718,-1.0258964871817795
tmean_c,3,-0.14563829274193552,0.5741375573056409
tmean_c,4,-0.3806705183333321,0.3242917039428688
tmean_c,5,-0.6830302370967765,0.6134063073794245
tmean_c,6,0.021176555000000263,0.03048431804997737
tmean_c,7,2.22640157392474,-2.1291802865231113
tmean_c,8,2.988678775806452,-3.0721849723723467
tmean_c,9,2.0245251252777763,-2.2779123981450184
tmean_c,10,0.35359179569892696,-0.07314965398932653
tmean_c,11,1.3209052130555552,-1.1075332801233053
tmean_c,12,1.732217491129033,-1.5510741537258297
wind_avg,1,1.8061079733306045,-1.8411183386786367
wind_avg,2,1.6079523285807187,-1.6742448816494175
wind_avg,3,1.3738292491826753,-1.3191111379817375
wind_avg,4,1.1519313907150792,-1.128181383611218
wind_avg,5,1.0123997108819243,-0.9993781503558309
wind_avg,6,0.9162160014043605,-0.9003597443686198
wind_avg,7,0.9587923896386745,-0.9628436135447433
wind_avg,8,1.1364293770991394,-1.1469219207113452
wind_avg,9,1.333280826969707,-1.3413336508468907
wind_avg,10,1.4058277878704761,-1.4280128547669946
wind_avg,11,1.751140996147704,-1.7005592205920883
wind_avg,12,1.8883101145365522,-1.8008258552694156
rh_mean_percent,1,1.2087378499837769,-1.2383766185235479
rh_mean_percent,2,1.576118006018703,-1.4339648439330168
rh_mean_percent,3,4.217424144248952,-3.849304833494156
rh_mean_percent,4,2.5780384809155805,-2.5092330205545856
rh_mean_percent,5,2.7463842371453,-2.63308760756378
rh_mean_percent,6,4.6795222733566035,-4.956560308624549
rh_mean_percent,7,-5.6765566658407,5.7624423270261635
rh_mean_percent,8,-13.532495429471169,13.524428946658707
rh_mean_percent,9,-11.91174074827974,12.683385931795923
rh_mean_percent,10,-4.5963964723818975,4.860007204949761
rh_mean_percent,11,-0.23565001563704868,0.26025245212952636
rh_mean_percent,12,1.0328106990149308,-1.3481789649041485
precip_mm_day,1,0.20912889523929223,-0.2587779666690805
precip_mm_day,2,-0.22632281640163732,0.23080507874647535
precip_mm_day,3,-0.015419602440452707,0.04648735963350371
precip_mm_day,4,-0.415038674064226,0.5442490514212779
precip_mm_day,5,-0.11289432827160972,0.4998381142711522
precip_mm_day,6,0.7499134408663346,-0.7066152063828438
precip_mm_day,7,-0.08219392110155843,0.022753611469816488
precip_mm_day,8,-0.37040880614948885,0.35650322088046876
precip_mm_day,9,-0.3011694610150383,0.19806647742986006
precip_mm_day,10,0.03707123029812087,0.020077848352332728
precip_mm_day,11,0.7140635114556453,-0.6341590587682733
precip_mm_day,12,-0.04532680020970492,-0.06299091285642132
